customer_id,revenue_usd,dropped_calls,unanswered_calls,threeway_calls,outbound_calls,inbound_calls,forwarded_calls,months_in_service,age,has_children,residence_area,customer_churned
1032537,37.41,15,49,0,47,1,0,21,23,0,Urban,0
1032542,33.395,1,0,0,12,0,0,25,0,0,Rural,0
1032546,32.78,1,2,0,0,0,0,19,38,0,Rural,0
1032549,28.075,1,8,0,6,1,0,21,52,0,Rural,0
1032551,81.555,2,16,0,16,15,0,23,40,1,Rural,0
1032552,15.9,0,0,0,0,0,0,25,70,0,Rural,0
1032557,34.64,2,2,0,0,0,0,23,58,0,Rural,0
1032562,85.765,9,113,2,132,77,0,21,0,0,Rural,0
1032565,29.55,1,7,0,15,0,0,21,36,1,Rural,0
1032567,32.445,3,11,0,24,1,0,19,23,0,Urban,0
1032568,83.96,2,47,0,9,0,0,25,32,0,Rural,0
1032572,56.185,2,8,0,32,3,0,25,45,1,Town,0
1032574,90.545,16,96,1,231,114,0,21,23,1,Urban,0
1032580,32.1,1,10,0,4,0,0,21,43,0,Rural,0
1032584,60.365,3,19,0,26,11,0,25,38,1,Urban,0
1032585,30.535,2,12,0,10,3,0,21,34,1,Town,0
1032586,39.895,1,10,0,5,0,0,23,34,1,Urban,0
1032587,66.81,3,34,0,84,32,0,21,27,0,Urban,0
1032593,57.555,13,55,0,39,7,0,21,41,1,Town,0
1032604,69.11,9,65,2,92,10,0,21,34,0,Rural,0
1032609,32.195,2,8,0,4,0,0,21,38,0,Urban,0
1032611,29.82,1,0,0,2,0,0,19,36,0,Urban,0
1032616,29.55,3,10,1,0,0,0,21,20,1,Town,0
1032617,101.555,28,20,2,22,0,0,19,36,1,Rural,0
1032619,75.48,3,34,0,23,39,0,23,43,1,Rural,0
1032620,45.255,5,27,0,1,0,0,19,31,0,Urban,0
1032625,52.09,1,54,0,18,1,0,23,34,1,Town,0
1032629,49.84,3,304,0,1,4,0,19,22,0,Rural,0
1032631,29.55,3,15,0,6,0,0,21,34,0,Rural,0
1032634,29.82,1,5,0,3,0,0,19,41,1,Rural,0
1032648,73.72,5,1,0,22,3,0,25,47,0,Rural,0
1032652,76.145,1,10,0,0,0,0,25,63,0,Rural,0
1032653,29.55,0,0,0,0,0,0,21,47,0,Rural,0
1032654,26.06,1,2,0,0,0,0,19,47,0,Rural,0
1032656,55.075,5,24,0,26,9,0,19,0,0,Urban,0
1032658,50.225,3,12,0,3,1,0,21,50,0,Urban,0
1032663,31.99,1,2,0,12,6,0,23,36,1,Rural,0
1032666,29.975,0,0,0,0,0,0,25,40,1,Rural,0
1032677,32.125,3,46,0,11,10,0,23,52,0,Rural,0
1032678,30.705,0,7,0,4,0,0,19,52,1,Urban,0
1032680,29.55,2,16,1,8,10,0,21,43,1,Urban,0
1032690,28.59,0,15,0,5,0,0,21,34,0,Urban,0
1032691,28.325,0,0,0,0,0,0,19,0,0,Town,0
1032707,96.075,6,25,0,28,1,0,25,23,0,Urban,0
1032710,28.075,1,3,0,5,2,0,25,47,1,Urban,0
1032715,29.55,0,38,0,11,0,0,25,52,0,Town,0
1032716,29.55,1,4,0,2,0,0,21,49,0,Town,0
1032720,46.76,1,12,0,2,0,0,23,38,0,Rural,0
1032722,86.62,14,16,0,44,2,0,23,32,0,Urban,0
1032726,29.82,3,8,0,7,3,0,19,41,0,Rural,0
1032728,29.55,0,8,0,0,0,0,23,52,0,Urban,0
1032735,37.74,1,45,0,54,11,0,25,0,0,Rural,0
1032737,85.585,3,30,1,76,34,0,19,0,0,Rural,0
1032738,86.035,9,10,1,24,0,0,21,0,0,Urban,0
1032739,49.975,3,5,0,40,9,0,23,22,0,Urban,0
1032744,31.695,1,16,0,11,3,0,21,0,0,Rural,0
1032745,35.475,4,17,0,18,3,0,23,22,0,Rural,0
1032749,25.885,1,4,0,0,0,0,19,56,0,Urban,0
1032754,19.695,0,0,0,0,0,0,23,52,0,Urban,0
1032756,58.435,13,58,0,27,10,0,21,65,0,Rural,0
1032764,5.465,0,0,0,0,0,0,19,40,1,Urban,0
1032776,29.82,2,3,0,1,0,0,19,52,0,Urban,0
1032777,34.36,3,5,0,5,0,0,19,68,0,Rural,0
1032780,57.695,1,32,0,9,0,0,19,40,0,Rural,0
1032781,33.24,12,25,0,27,7,0,21,38,0,Urban,0
1032782,28.91,1,13,0,7,2,0,23,0,0,Rural,0
1032783,29.55,1,5,0,6,1,0,21,74,0,Urban,0
1032786,28.325,5,11,0,1,0,0,19,40,0,Rural,0
1032787,29.55,5,49,0,7,4,0,25,32,0,Rural,0
1032793,50.67,5,23,0,11,0,0,19,0,0,Rural,0
1032794,39.635,5,10,0,0,0,0,21,72,1,Rural,0
1032796,35.5,5,20,0,53,12,0,21,45,1,Town,0
1032800,29.55,0,1,0,1,3,0,21,47,0,Town,0
1032801,82.055,5,5,0,10,20,0,19,0,0,Rural,0
1032805,36.46,4,11,0,24,3,0,21,47,0,Urban,0
1032810,43.845,3,9,1,19,1,0,19,0,0,Rural,0
1032816,32.07,1,7,0,4,1,0,21,34,1,Rural,0
1032820,38.455,2,11,0,20,9,0,25,38,1,Rural,0
1032825,44.32,0,12,0,12,0,0,21,40,0,Urban,0
1032828,10.715,2,13,0,17,3,0,25,43,1,Urban,0
1032830,29.965,1,10,0,2,0,0,23,49,0,Town,0
1032832,31.165,3,7,1,2,0,0,21,50,0,Urban,0
1032836,35.14,0,0,0,1,0,0,19,31,0,Urban,0
1032838,69.445,2,13,0,14,4,0,19,36,0,Urban,0
1032842,34.78,0,19,0,1,0,0,19,52,0,Urban,0
1032845,29.82,1,6,0,1,0,0,19,68,0,Urban,0
1032849,55.905,2,5,1,4,0,0,21,31,0,Urban,0
1032852,43.185,1,2,0,15,3,0,23,58,0,Urban,0
1032853,21.445,0,0,0,0,0,0,23,61,0,Rural,0
1032856,64.665,11,63,1,21,8,0,21,45,1,Town,0
1032857,29.55,1,5,0,2,0,0,25,63,0,Rural,0
1032858,29.82,2,17,0,10,4,0,19,41,1,Rural,0
1032860,29.82,2,7,0,5,3,0,19,50,1,Urban,0
1032861,30.08,1,12,0,6,0,0,19,32,0,Rural,0
1032865,29.82,2,2,0,7,0,0,19,49,0,Urban,0
1032867,103.88,3,4,0,7,1,0,23,31,0,Rural,0
1032872,32.17,5,23,0,45,31,0,21,36,1,Urban,0
1032873,68.705,12,62,0,92,27,0,21,49,1,Urban,0
1032879,29.725,2,4,0,5,0,0,21,29,1,Town,0
1032883,198.6435,7,43,0,84,0,0,21,54,0,Rural,0
1032884,53.91,2,23,0,5,1,0,21,29,0,Urban,0
1032887,59.225,2,19,0,7,2,0,19,32,0,Town,0
1032890,39.745,1,10,0,7,1,0,19,40,0,Town,0
1032899,31.795,2,26,1,18,6,0,23,27,0,Urban,0
1032900,29.55,1,8,0,13,11,0,21,0,0,Rural,0
1032902,29.55,3,10,0,2,0,0,25,38,1,Urban,0
1032903,32.52,2,10,0,18,1,0,21,29,0,Rural,0
1032907,34.755,0,3,0,2,0,0,25,38,0,Urban,0
