artist_id,artist_name,total_followers,genres,popularity
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,40573506,"['dance pop', 'pop']",87
4IWBUUAFIplrNtaOHcJPRM,James Arthur,9781153,"['pop', 'talent show', 'uk pop']",78
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,19106168,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",81
04gDigrS5kc9YWfZHwBETP,Maroon 5,36438044,['pop'],85
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,7740756,"['dance pop', 'pop', 'post-teen pop']",71
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,10316405,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'post-teen pop']",74
540vIaP2JwjQb9dm3aArA4,DJ Snake,7808888,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",77
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,44957808,"['canadian contemporary r&b', 'canadian pop', 'pop']",92
46GXASE9LHzyssNqKOInUu,Dawin,220635,['nyc pop'],51
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6285997,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",74
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3550973,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",75
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,4590663,['ohio hip hop'],82
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,20055290,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",76
7gAppWoH7pcYmphCVTXkzs,The Vamps,5174254,"['boy band', 'dance pop', 'pop', 'post-teen pop']",70
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,15553138,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",77
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,79695182,"['dance pop', 'pop']",88
02A3cEvlLLCbIMVDrK2GHV,Starley,159049,"['aussietronica', 'dance pop', 'pop dance', 'tropical house']",56
2oX42qP5ineK3hrhBECLmj,Andy Grammer,1060624,"['dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",70
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,37821126,"['canadian pop', 'pop', 'viral pop']",85
